,critical_temp,H,Li,Be,B,C,N,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi
Mg,-0.03500218278235894,-0.012815112785666211,0.002207890495189015,-0.002781516185988688,0.5608217132318334,0.017410669209724228,-0.011822654094977226,-0.13533156844008346,-0.016920192588091562,-0.008751956521054462,1.0,0.034791059646403326,-0.014870186909583616,-0.014225341820268673,-0.02274705173884802,-0.009093071385302227,-0.019021320190424452,-0.047495626419874405,-0.006581123159201312,-0.01706906632015386,-0.02370618828759678,-0.0076043066269124064,0.004833938078868648,-0.03999382386187664,-0.008243741155611599,0.13258704442191757,-0.12164171105567109,0.03440096353537016,-0.015869385333805296,-0.017521804937050956,-0.03579707677354047,-0.02348091424797576,-0.006674712854414902,-0.009917759646835592,-0.05976613832653387,-0.04920975721914894,-0.02090485525244069,-0.03181144630807089,-0.023236384970879355,-0.0063765904269795035,-0.018181302047436825,-0.019874119968235758,-0.01894793971051513,-0.008266027425659371,0.028904081893154007,-0.012549287074348678,-0.022743821044148824,-0.014557675756755414,-0.021332635021050067,-0.006290425926473581,-0.005587256478752949,-0.08427227231070554,-0.0438792201063402,-0.02317325136983544,-0.02072667278889974,-0.02370381683276136,-0.01793645607544327,-0.015193086877349417,-0.020725593543308683,-0.006404966253305718,-0.013070729109129167,-0.012724670305980602,-0.015956799487926374,-0.011198606094058839,-0.010976643260251214,-0.014884113210407711,-0.010516617316391351,-0.01575003843878788,-0.012231407603730652,-0.013853165352268498,-0.012522919396265465,-0.005661824873791286,-0.012040524923841613,-0.010164022150100826,0.013945434092067553,-0.011847356943590839,-0.012423996948910058,-0.03384499208703892
Al,-0.09786260201889492,-0.011532394888738848,-0.0053303887928458525,-0.0019770701901510182,-0.005126268262307893,-0.022124633007808727,-0.006435396511603102,-0.12226752320846758,-0.01698556102103055,-0.00021713831259194313,0.034791059646403326,1.0,0.03161476710954331,-0.011806120722157918,-0.021144953921204426,-0.010089840178801419,-0.017117397202031884,0.012252360263852116,-0.005326951699840945,-0.010664365579374176,0.024389473572860868,-0.005990786444281795,-0.004763735660646304,-0.03432987105358923,-0.014981631333776354,-0.016340088507139233,-0.10503196833197868,-0.004969679283088948,-0.003546932302527884,0.014637377186309884,-0.03242140639075966,-0.020092908155549684,-0.0060066131054330105,-0.008925049866652036,-0.04857121779101876,-0.03391412988634509,-0.012107049378260619,0.1432812433571817,-0.0056356685708143775,-0.005738330990727399,-0.01671294402046294,-0.014765880967262321,0.006478759892056315,0.02834742705290975,-0.006035002602552268,-0.01545054523792998,-0.012894937563282447,-0.00830016907722807,-0.019197362925680982,-0.005660791053165544,-0.005028004757764054,-0.0722476154820523,0.01236698748728026,-0.019089695769433118,-0.015364412912693361,-0.02133120329547609,-0.016141121644894896,-0.01331652888873349,-0.018431316238938615,-0.004827469574497209,-0.011762425512064634,-0.011058147968610103,-0.014178625047117,-0.010077691069915377,0.004928222029615108,-0.013394300462425006,-0.0017642085604002635,-0.010407704023838008,-0.010592046991126616,-0.009391637888846166,0.007677848859910843,-0.017136943363133608,-0.006478737353624182,0.009882444009769408,-0.01663573604816493,-0.013372445329822041,-0.014030806342093121,-0.03735966308076346
Si,-0.14303335095010244,-0.011784070806710843,-0.007612683315003366,-0.006636817185767611,-0.03348651640140895,-0.02294095083688469,-0.016893623202230326,-0.16315103122104835,-0.021998630100564746,-0.0031425740059955283,-0.014870186909583616,0.03161476710954331,1.0,-0.016251343909355048,-0.02762895861188353,-0.013067726264229525,-0.020626034479228027,0.023133265463751575,0.07443824513843886,-0.013361392628998662,0.061746827202562984,-0.008760644643622185,0.005809787832493935,-0.01344394722000513,0.006454573902860643,-0.020887145501265553,-0.12126109671433855,-0.008466966400915784,0.019963709943444895,-0.004420391271241194,-0.04236177827117745,-0.027367039314163184,-0.007779387427949409,-0.011559163126995184,-0.04062098296431468,-0.01627593853385091,-0.017958649436223766,-0.01696646767814538,-0.015420514939097763,-0.0074319253101730424,0.014077986339556316,0.026109835105404867,0.0041427948544030474,-0.005043690553564261,-0.007816155718676469,-0.020687674087982378,-0.025674544533936864,-0.016958121201682566,-0.02486321678662917,-0.007331500460949802,-0.00651195545869666,-0.04641178035331529,-0.01394225799021277,0.07398043381974996,-0.024156966933874674,-0.026488253066120012,-0.020904965342895255,-0.013492466671832012,-0.02415570907159371,0.0026440416795977246,-0.00014722125164658877,-0.0072110085782209005,-0.007631852510268133,0.029227496205631934,-0.00467090658836351,0.1956925294348725,-0.009736641734003258,-0.009802740430438262,0.0008106212392750097,-0.01089423017179112,0.0007654236802428611,0.0889496725553373,0.07534669195662574,-0.005777206319548056,-0.021545558802625788,-0.02142469373157504,-0.022064055714670204,-0.04836704542447977
P,-0.07534319704722214,-0.00783039443666701,0.01120103715728321,-0.005788065359450499,-0.019781159707613273,-0.01880340839299723,-0.010376547733998034,-0.07755322156727751,-0.003150203493570483,-0.007432597629059033,-0.014225341820268673,-0.011806120722157918,-0.016251343909355048,1.0,-0.006410197050003511,-0.00784665482782559,-0.013311836958262342,-0.03017939463590466,0.0034533210081653005,-0.010319196511268773,-0.015652332192104098,-0.0054870724183408446,-0.004202737755769956,0.06405813184208627,-0.012285953746523776,0.014722024424196189,-0.08422231897961242,-0.0050840797735886385,-0.00025130121147864346,-0.004673715390529578,0.010190526411198598,-0.009504636965021967,-0.004671215687009488,-0.006940822092692564,-0.02625451854360877,-0.029692898328022153,0.04186868868470536,-0.01993027915341339,0.014132661263396495,-0.004462578373310288,0.09300809928777422,0.02933182892321536,0.006696582357442365,-0.005784877615294105,-0.004693293597133152,-0.012465688675558648,-0.009267232131857872,-0.010188010307651154,-0.014929382211509168,-0.004402277207517309,-0.003910172719061894,-0.0417617880749136,0.008754826858169766,-0.008864817231612226,0.0068607817823815665,-0.0033397009185827625,0.005465980808219266,0.00662847009573245,-0.014504551700396346,-0.004482436846318428,-0.009147388986905007,-0.008546173458054347,-0.011167169840599749,-0.007837206723375631,-0.007872390378442406,-0.010416463544154972,0.02575668402090485,-0.006968311657942578,0.0019345754732121813,-0.009474988841519028,0.02091616090618751,-0.007029943862500683,0.010267531088854445,-0.008418555960428599,-0.012937259288911733,-0.012885650530279602,-0.008759763476429368,-0.028811175347336196
S,-0.13759506376125957,0.0026739515495432372,-0.00985573204396405,-0.009645448310265906,-0.036136166596127534,-0.026615278237864085,-0.0011807381641209213,-0.1399257085579532,0.19865964495716626,0.0027086088907793634,-0.02274705173884802,-0.021144953921204426,-0.02762895861188353,-0.006410197050003511,1.0,-0.013075958692612317,0.002553338595303351,-0.05652102438165965,-0.0024871641525158984,-0.019105733048744696,-0.015344643862833055,-0.008490478610066856,-0.007605085547880139,-0.033941126452536684,0.037666699288877066,-0.025370419762226468,-0.11083744603254807,0.004366544395088595,-0.018294113724251798,-0.020434554135177103,-0.04313084384470523,-0.0005119094127819106,-0.0025246012937083745,0.008134638559174647,-0.06517191134321856,-0.051706007004411365,-0.02155706358709228,-0.01083305181206244,0.20486443101351218,-0.007436607287092554,-0.02220658615435448,0.006762002394356567,-0.011624254975995384,-0.002841662734215954,-0.004607735680640751,-0.02015168786465016,-0.014616880814413927,-0.015025854423598245,-0.0206941438200313,3.525284838744073e-05,0.01004565699221057,-0.09666694744683228,-0.021674690364316088,0.018061198519294764,-0.015430660027996465,0.05478537125637172,0.0032182379546510866,0.007461126716896898,-0.019275945607007215,0.002246913383868074,-0.0066293433659423175,-0.010426843397213894,-0.014860528099059111,-0.010677945764892812,0.003273813543542756,-0.010426006126691593,-0.009820208213587355,0.08495462426394244,-0.011345842857646027,-0.01625057182860049,-0.01460467544597616,-0.0011334487717220769,-0.01859622270715341,-0.014028996101576333,-0.02080053237677961,-0.02039397929495502,0.004527498348313138,0.07781156345323884
Cl,-0.03341603878108032,-0.007016609917917429,0.07496842039093476,-0.004562027834088497,-0.017278660660721163,-0.0028408689732538927,0.2724555613550779,-0.0386987487832844,-0.01041129282249873,0.08453070583094728,-0.009093071385302227,-0.010089840178801419,-0.013067726264229525,-0.00784665482782559,-0.013075958692612317,1.0,0.03396191206972151,0.11979715785346103,-0.004546875138589469,0.0027577878055624963,-0.01308345984413976,-0.004324791712878735,-0.003596993196587579,-0.022121304517391718,-0.00993929209717699,-0.013519020885395076,-0.028823243555573735,-0.003701153832987866,-0.008753504177080906,-0.009664973751679793,-0.020399685302126984,-0.00542025449610468,0.052987324887958265,0.004447299418777013,-0.023526184630374605,-0.004161726594880226,0.06559513099981203,-0.018834400481009112,-0.006737795251869253,-0.0035173076816787463,-0.010503095437099551,-0.010962503493266367,-0.010451625309631955,-0.004559515323146047,-0.003699152427282515,-0.009825185995209118,-0.01255292103664092,-0.00802996920579488,-0.011767015913786656,0.00144760437346691,-0.0030819135017787045,-0.046462055662806284,-0.02520518430638078,-0.01278229423481306,-0.011432769008901413,-0.013074952513519153,-0.009893694045224482,-0.008380460027039757,-0.011432173700347683,-0.003532959700268567,-0.0072097740049518085,-0.007018889032718233,-0.008801721555830847,-0.006177116703634057,-0.006204847699010464,-0.008210031101953133,0.06956068168471963,-0.008687672796590504,-0.0067468068421502984,-0.007686066900913082,-0.006907603850977331,-0.010504082568439665,-0.00879549429638384,-0.006635323589018745,-0.009104237295593023,-0.010156190839054008,-0.010444934220511503,-0.022217659591728712
K,-0.058558318094963396,-0.005766684939418458,-0.011023509048176524,-0.007739472687282713,-0.029313219278753102,0.055413328955943676,0.00967863600070615,-0.016477015284081128,-0.017362367772171663,-0.008467180835052332,-0.019021320190424452,-0.017117397202031884,-0.020626034479228027,-0.013311836958262342,0.002553338595303351,0.03396191206972151,1.0,-0.041735819688988346,-0.007713766164382649,-0.012138331810439653,-0.021560526683201298,0.010163758989158651,0.0075081342388291115,0.19834846240717538,-0.012062354088534786,-0.01524710806956872,-0.1101752706143251,-0.004763120843738399,-0.014850305381795352,-0.01639661200999924,0.1288115312098096,0.09828612971222707,0.005394584822855159,-0.008521305987304587,-0.046677745436987675,-0.04486366676007227,-0.013735622580844608,-0.03060541333528809,-0.015726693460599035,-0.005967106673854029,-0.017576529966203226,-0.018597869073991177,-0.017731165079071083,-0.007735210216610585,-0.006275605984491671,-0.01661937923167427,-0.02129600981008528,-0.0118784078450296,-0.01996272306692469,-0.00588647537536839,-0.005094405176895527,0.00018864745445420212,-0.04218894790214467,-0.02168514106201949,-0.018758250602354,-0.022181635348573838,-0.016784635610315613,0.0002559857015203191,-0.019394663804743025,-0.005993660297547389,-0.012231369693935172,-0.011907533653744298,-0.014932106085225461,-0.010479468287468333,-0.010526513875334298,-0.013928304207277864,0.0007988528309397503,-0.01345805071899847,-0.0020650703447036797,-0.012377591231151213,0.0019414298112647832,-0.017820158732011676,-0.014921541549856344,-0.01125681551189088,0.04426613845191317,-0.009133606518029665,-0.014550969791831177,0.09011661087697029
Ca,0.3658480726237596,-0.013951938133864495,-0.018782646771753946,-0.020003179920226304,-0.07494809463302891,-0.050347902490582255,-0.03184201420114901,0.00898583128003508,0.061198421170478835,-0.005859942097521995,-0.047495626419874405,0.012252360263852116,0.023133265463751575,-0.03017939463590466,-0.05652102438165965,0.11979715785346103,-0.041735819688988346,1.0,-0.011994374332401064,-0.04172228031222492,-0.056505205707404714,-0.016823429610617002,-0.002473170428945814,-0.003298723993454872,-0.031498561613203864,-0.05800279469102894,0.2383512237129438,-0.012764328091155953,-0.018526211982314387,-0.034647657281194295,0.06197272585410605,-0.057797687955015525,0.026922980824962046,-0.019400478255634485,0.25256524079376635,-0.09634063669113553,-0.053256013136897686,-0.08208016387706268,-0.05858357719438235,-0.015842236019668676,-0.047300190379824344,-0.03948485655826678,-0.042605785585480074,-0.015245813413718846,-0.010526691431811404,-0.04145948801249064,-0.04463471744939425,-0.034370340470366724,-0.05293382806951568,-0.0001676801750135173,-0.0014537987768437374,-0.028680762385899117,-0.09063207718538425,-0.05411754888816897,-0.03811795488441318,-0.047238604821525206,-0.03938533488129365,-0.029226001043888738,-0.03748919693199059,-0.009125587258969099,-0.027909147109638866,-0.027117911303366757,-0.02927501087671245,-0.02103976848332122,-0.01740644270129001,-0.03500032458878204,-0.027959423217675323,-0.03912997535646058,-0.03004314157657034,-0.03378816087607416,-0.031112401996450264,-0.0371113622383968,-0.01221524692686562,-0.025302968547162314,0.059033771370802825,0.05053415763225464,0.004518609606782953,0.1653827478735253
Sc,-0.04661338549348659,-0.00519694650051758,-0.004879068581958006,-0.0033539911033271435,0.0010747946059289748,-0.0038181160772762937,-0.006012863819214244,-0.051244436213749855,-0.007654355644184988,-0.004578875617807666,-0.006581123159201312,-0.005326951699840945,0.07443824513843886,0.0034533210081653005,-0.0024871641525158984,-0.004546875138589469,-0.007713766164382649,-0.011994374332401064,1.0,-0.004262640445763521,0.008326885303964134,-0.0011686924602819727,-0.0026445001255658374,-0.007202547637032018,0.019954601113119894,0.0009571620510882175,-0.049980864947349456,-0.002946054902678773,0.0006870039258178334,0.006415573243955714,-0.01125078891924106,-0.009522277109133268,-0.0027068139150109396,-0.0040219752374886335,-0.017698481361878522,-0.018426435615606775,-0.00467300011236885,-0.013795339561319309,-0.008818637092053383,0.010161998234779585,0.026301845460158704,0.016798027149812607,0.013194912970414299,-0.003352143911758719,-0.0027196073286188255,-0.00566726994148734,0.008767547096378425,-0.005859512691266123,-0.00865107976602647,-0.0025509730231860765,-0.0022658148617477917,-0.03369149788298103,-0.014209309782336,-0.005150914779935231,-0.008405342303198046,-0.009612671382466511,-0.007273818357432469,-0.006161292608177748,-0.008404904633888186,-0.0025974228641408915,0.0032288188196177604,-0.005160269123097627,-0.006471002998188737,-0.004541400276731161,-0.004561788033045939,0.004900898136255682,-0.004573516534528244,-0.006387154644395469,-0.004960234997985784,0.012115874493909997,0.010992720087458389,0.043966032001204414,-0.00646642473309609,0.014985450270017681,-0.007496710880363388,-0.007466805323574283,-0.005755243476988637,-0.016754032077638262
Ti,-0.11327823895849642,-0.012051957535721114,0.014380033863380796,-0.006514478268891974,-0.027605341374616076,-0.020309473817804936,0.03660813506470616,-0.10033462821391649,-0.017750802163891934,-0.006377160649731809,-0.01706906632015386,-0.010664365579374176,-0.013361392628998662,-0.010319196511268773,-0.019105733048744696,0.0027577878055624963,-0.012138331810439653,-0.04172228031222492,-0.004262640445763521,1.0,0.042016075605973514,0.0014720372224161851,0.05982632948851329,-0.03441916810097182,-0.001076244714520849,-0.02064756630157003,-0.11430983753970664,-0.00683203657791078,-0.014759370922219366,-0.016478360556189592,-0.031871887570503424,0.021081215895469033,0.009190264714596375,-0.0017230931779360994,-0.04662036044965652,-0.04386055686780382,0.00652322553513471,0.013592502701713135,-0.011264363042982194,0.002323376979067432,-0.01178332835292693,0.006420574298852622,-0.0023450860791196836,-0.006967318165387481,-0.006306894257056309,-0.014993248455045075,-0.0201395237113867,0.03730521426760033,-0.020062251163813962,-0.005915823560459465,-0.005254528691967705,-0.06874587764666339,-0.043270837121321064,-0.02161170570472665,-0.01941347879833843,-0.02229222627071374,-0.016746000082456705,-0.013691693947805497,-0.01907923669845798,-0.006023542874230291,-0.01229235160226212,-0.01196690101355776,-0.015006553048019684,-0.010531715745473768,-0.010578995888404212,-0.013997746517626428,-0.007864682488162609,0.006192566603047654,-0.010490274706525254,-0.006592081295586572,-0.0074949823072383865,-0.006494511360667815,-0.012058382823326741,-0.009754428950820484,-0.017161779579338298,-0.01731586435962753,-0.016212592019592326,-0.03654183927627501
V,-0.1253018632968021,-0.008052929941562228,-0.013872599399977112,-0.009246448910052512,-0.03562814769914619,-0.0305394225830084,0.01189462325130969,-0.15964551084602532,-0.02202511651430931,-0.012304122527326206,-0.02370618828759678,0.024389473572860868,0.061746827202562984,-0.015652332192104098,-0.015344643862833055,-0.01308345984413976,-0.021560526683201298,-0.056505205707404714,0.008326885303964134,0.042016075605973514,1.0,0.021238492298416078,0.03909176651375607,-0.04646481608471878,-0.018149556080331992,-0.025587380333183796,-0.14177398575484929,-0.008474630856074918,0.12674087677203932,0.015373554843925556,-0.042111336225325015,-0.027399989307991392,-0.007788753832725993,-0.010336508302852985,-0.06567020560556378,-0.0569061978704263,0.008854042862696757,-0.02126413516676445,-0.022706357943206787,0.009954297204899203,-0.001699941192130304,-0.01993068127564307,-0.019102415287784457,-0.009645666292669039,-0.007810443035886429,-0.019038588066894475,-0.012431494284959797,-0.006109152741522968,-0.024893152170955557,-0.00734032760853546,-0.005428583636850922,-0.10017076836412192,-0.053541325348214944,-0.02617645084113526,-0.02397736334248741,-0.02748345170264041,-0.020830843434655685,-0.01772888455699106,-0.02387084761245792,-0.007473985254800267,-0.015018939512833496,-0.014848477646552793,-0.017308042632307237,-0.013067706137896169,-0.013126371129323373,-0.016994681418889473,0.06378764218393894,0.002333922393591222,-0.014059119254250105,-0.007813253302702116,-0.009321083963462751,-0.015998059174020047,0.0003508610802630031,-0.0025846020118314677,-0.020564343404368756,-0.020892518836798355,-0.021355568660507345,-0.04816456601506163
Cr,-0.042153208654159884,-0.0049431115816136045,-0.00464075980242692,-0.003190171818362876,-0.011100506605332301,-0.009578537896031218,-0.00533766981754772,-0.04601737609480158,-0.007280493272497831,-0.004355229189850156,-0.0076043066269124064,-0.005990786444281795,-0.008760644643622185,-0.0054870724183408446,-0.008490478610066856,-0.004324791712878735,0.010163758989158651,-0.016823429610617002,-0.0011686924602819727,0.0014720372224161851,0.021238492298416078,1.0,-0.0025153345713603737,-0.015941841535319582,-0.006093483092539445,-0.009413502441792992,-0.04072982900313961,-0.0027650827036800056,-0.0014987504212984864,-0.006734843143088719,0.008081072772514268,-0.008938382595417039,-0.0025746047628615308,0.01316546498289335,-0.012056817848073246,-0.017749247330919274,-0.008268346646735156,-0.007277329638560237,0.012697541816884013,-0.0024596114383061505,0.03921154101881781,0.014007352532127806,-0.007308345986366648,-0.0031884148493336495,-0.0025867733066328915,-0.006870635737433871,-0.008778108417042576,-0.005614904614593487,-0.008228534309646755,-0.002426375621537969,0.027832238635188047,-0.03272316228988346,-0.01780470289751685,-0.00890024830015951,-0.00799479942351129,-0.009143158821469861,-0.006918542602197115,-0.005860356046795585,-0.007994383131318865,-0.0024705567087908754,-0.005041709231907955,-0.004908225640590656,-0.006154939224757037,-0.004319584260183627,-0.004338976215505749,-0.005741177126014689,-0.0043501318607508084,-0.006075186283546009,-0.004717961799994906,0.03047982703112584,0.027776027375633592,0.03962110581707324,-0.006150584576270888,-0.004640002886701755,-0.0013536868728075747,-0.005946366635077183,-0.006827803501045094,-0.01541625506987761
Mn,-0.009880495161615084,-0.003513190088943697,-0.0038597885273005464,-0.0026533130583896326,0.0035038609062943344,-0.00575747988834547,-0.004756724033648128,-0.026412769961440794,-0.0037638301751462527,-0.0035059219165360597,0.004833938078868648,-0.004763735660646304,0.005809787832493935,-0.004202737755769956,-0.007605085547880139,-0.003596993196587579,0.0075081342388291115,-0.002473170428945814,-0.0026445001255658374,0.05982632948851329,0.03909176651375607,-0.0025153345713603737,1.0,0.024871590661240926,-0.005282533374711239,0.0030121860469374292,-0.017395234461322993,-0.002330598294150079,0.03206515856851245,-0.0056212285406713,-0.0021618732815331643,0.030134533168871287,-0.002141336839028725,-0.0031817494708196907,-0.0073396653612620355,-0.0022264850296073416,0.0027501068610274386,0.01780406511734736,-0.007489761211462655,-0.0020456951911684276,-0.0061086870335406405,-0.005745059922499907,-0.006040543805868675,-0.0026518517612780564,-0.0021228756645055944,-0.005714409304427948,-0.0073008825282846876,-0.004631412740242293,-0.0062845468295819554,-0.0020180524710707746,-0.0017924663409530218,-0.012317246525767255,-0.010313856099003526,-0.007150027376517581,-0.006637829636245809,-0.002189996524551224,6.474788911327761e-05,-0.004874144751790935,-0.0009851909277611088,-0.002054798534423215,-0.004193264094627296,-0.00408224381857856,-0.005119153935424309,-0.0035926620812060735,-0.0036087906570981404,-0.004775021881675796,-0.0036180689721520575,-0.0050528222353109,-0.003923998569877848,-0.004470279975814406,-0.004017519437963,-0.006109261157277256,-0.0051155321099084685,-0.0038591589893018498,-0.0042169710580169,-0.005906924454821591,-0.004217025638978634,-0.004039172098111868
Fe,-0.12095631323331066,0.014321339465356915,0.04129615649419149,-0.01707732377759747,-0.06357021193374279,-0.05391526890472901,-0.03061535320397815,-0.21852551525032132,0.06923201364105265,0.13729384625722962,-0.03999382386187664,-0.03432987105358923,-0.01344394722000513,0.06405813184208627,-0.033941126452536684,-0.022121304517391718,0.19834846240717538,-0.003298723993454872,-0.007202547637032018,-0.03441916810097182,-0.04646481608471878,-0.015941841535319582,0.024871590661240926,1.0,0.01293695352906603,-0.042845803269013494,-0.25092112434926384,-0.010283137529732894,-0.031282072904869146,-0.028347180381218116,0.7036689747544079,0.2216993439658729,-0.0076157717492986625,0.11473961208823645,-0.0705254569570619,-0.0836498241272922,-0.036425861200502556,-0.06941312301282557,-0.049531905655805696,-0.013166557568241491,-0.029288554875134643,-0.039478799326424716,-0.038427963359808796,-0.017067918538426347,-0.013846320779077574,-0.036779232507414404,-0.04673218355755829,-0.02845281931138102,0.08268223568021361,-0.012988642761055791,0.038251797794586324,-0.027552671754342336,-0.024456461981762188,0.0035989157889603244,0.02822656572630169,0.006188871122372565,0.11203584214458928,0.05904812394089031,-0.0192233089354108,0.038769890529193336,-0.008892422283255952,-0.01990228843235631,-0.029013721661179097,-0.008553054172561279,-0.019269662380300603,-0.012530229505045455,-0.02263665455775625,-0.03247872826622508,-0.02525574351987482,-0.02683145106748582,-0.02585766500788091,-0.037312999755237615,-0.018303851485842383,-0.02483842129415723,-0.037535898119369485,-0.030152343258430424,-0.039080408193376194,-0.08396242516408697
Co,-0.08850262704493977,0.1334489195871708,-0.009320032934506107,-0.007321165730316302,-0.014493443105540734,-0.021159886528900936,-0.01314388629952298,-0.08637007086745035,-0.007882188019205488,0.03450466671744359,-0.008243741155611599,-0.014981631333776354,0.006454573902860643,-0.012285953746523776,0.037666699288877066,-0.00993929209717699,-0.012062354088534786,-0.031498561613203864,0.019954601113119894,-0.001076244714520849,-0.018149556080331992,-0.006093483092539445,-0.005282533374711239,0.01293695352906603,1.0,0.009673170347449791,-0.0745612796656915,-0.005430893308425901,-0.007859949117531401,0.0029407427285066657,0.02442650978136807,-0.019842147197458155,-0.00591698987413741,-0.008791881341482226,-0.023487910535939512,0.017446997673585322,0.11116308598175008,-0.026261776446070046,-0.016194912049209066,-0.005652710732422076,-0.007149610998100572,-0.010694345458467156,-0.016635753475982413,-0.0073276561320029425,-0.00496519878735202,0.14094740986421897,0.014109882380859407,-0.012868911228869047,-0.018510668263791014,-0.005023409490648066,-0.004952983106552575,-0.038165497417444086,-0.02357260532499567,0.204586357306631,-0.00776253937299326,-0.019073787946528285,-0.010191118735065417,-0.001779407635724459,-0.017764083167180405,-0.005677865294228484,-0.011336802594607207,-0.010563872496341161,-0.009818244106183437,0.0038454541838952453,0.0012794911457565308,0.0036955909875709494,-0.00041124821440849933,0.005030871545683131,-0.010842880662636178,-0.012343238470012332,-0.011101299618210873,-0.015977086544002553,-0.014135352805532929,-0.010663714482562054,-0.00853665839139413,-0.006448967179757455,-0.01677146945872483,-0.02375930820388739
Ni,-0.13314399946272443,-0.014022681323556654,-0.00922616822686433,-0.001244833263671563,0.21052860501221174,0.17980864013814607,-0.006066819616918365,-0.15970500865320578,-0.020319644522356316,-0.013493228023443528,0.13258704442191757,-0.016340088507139233,-0.020887145501265553,0.014722024424196189,-0.025370419762226468,-0.013519020885395076,-0.01524710806956872,-0.05800279469102894,0.0009571620510882175,-0.02064756630157003,-0.025587380333183796,-0.009413502441792992,0.0030121860469374292,-0.042845803269013494,0.009673170347449791,1.0,-0.14242168165137514,-0.001756551431170136,-0.005647163343658737,0.009643683222391813,-0.018819519283093326,-0.023867351566307482,-0.008048048986290059,-0.011958359440018008,-0.06735655272661897,0.030701455704210838,0.05359246068388531,-0.03503475725678365,-0.027947060947107433,-0.007688587245808888,-0.019868413786960092,-0.02393594946993771,-0.011006472650351973,-0.009966779859265211,0.0008242899091798004,-0.02104070434203793,-0.02397209917620222,-0.015515212644432399,-0.025259605842561414,-0.007584694219077662,-0.0067368461866109215,-0.0854561600299099,-0.02267184718570947,-0.004904271775718605,-0.02005254546459412,-0.025670096528501586,-0.00800688083316718,-0.018171804470270746,-0.007035933571329585,0.03246456408066369,0.14400310334990576,0.1823874846627257,0.10973824535204531,0.08527781925655972,-0.013563360728798244,0.0775727697478086,-0.004109321621181197,-0.014613185088094246,-0.01474804530370979,-0.01680120174091201,-0.015099536257341003,-0.0227879229277338,-0.015546398699245088,-0.014504350752159296,-0.022193156704864755,-0.020355226589544334,-0.022824845674207544,-0.014012743586612059
Cu,0.7042500841987294,-0.06883445770519757,-0.06937568432738019,-0.046696383841298025,-0.1886630444006521,-0.15823582397467384,-0.08959035056738245,0.5314336783910669,-0.058285268574932186,-0.057887797222191284,-0.12164171105567109,-0.10503196833197868,-0.12126109671433855,-0.08422231897961242,-0.11083744603254807,-0.028823243555573735,-0.1101752706143251,0.2383512237129438,-0.049980864947349456,-0.11430983753970664,-0.14177398575484929,-0.04072982900313961,-0.017395234461322993,-0.25092112434926384,-0.0745612796656915,-0.14242168165137514,1.0,-0.029904685066229512,-0.08785004984371117,-0.0954243797007227,-0.22644533696067456,-0.12702559330457042,-0.028511747342756175,-0.06001662034356312,0.24614538792996918,0.2049752166007287,-0.12124021663167224,-0.2060752321286532,-0.13835725760562115,-0.03909148062169161,-0.10465719554924366,-0.11605659334408219,-0.11560684047060493,-0.046039938034902764,-0.026801325974950326,-0.10676197320334549,-0.13202319158087103,-0.07968304784621374,-0.12766892974520627,-0.018095172462519037,-0.027882104609494043,0.5782780740166559,-0.04467802544869113,-0.05993507289905719,0.024997360196260133,0.045630076246282195,-0.01901818797954021,0.043413461068947376,0.13982965143709283,-0.021580448452861185,0.013177342656231657,-0.006525309807575281,0.03195966178199895,-0.0009306319550714201,0.032011913253311444,-0.07035936094695505,-0.06857681923076321,-0.09607638177625225,-0.07222201450830504,-0.08360847252967221,-0.07677135085148763,-0.11407870021971057,-0.09752315173464185,-0.07181084509867737,0.017370817473534868,-0.009442042498468944,-0.06121975949848601,0.004579516749161932
